product_category,Accuracy,F1-Macro
Personal Care,0.6028708133971292,0.5945162572169889
Kitchen,0.7773651290070367,0.6076071813293679
Home Maintenance and Structures,0.7740353172007848,0.6866328871464757
Electronics,0.7548467792370231,0.7247171667486474
"Furniture, Furnishings & Decorations",0.7341176470588235,0.7230392156862745
Yard & Garden,0.6457725947521866,0.5599162590057208
Clothing and Accessories,0.8617021276595744,0.7098765432098766
Toys & Children,0.69,0.6710526315789473
Hobby,0.7540983606557377,0.751696065128901
Drywall,0.8181818181818182,0.45
Sports and Recreation,0.7611940298507462,0.743922947561535
Containers & Packaging,0.7123287671232876,0.7114624505928854
Baby,0.8940397350993378,0.8336088154269972
Products at Public Facilities,0.9090909090909091,0.8705882352941177
"Fuel, Lighters and Fireworks",0.631578947368421,0.5907692307692307
