risk_type,Accuracy,F1-Macro
smoke,0.8269794721407625,0.5400378494405141
smell,0.7898550724637681,0.6451493576395383
CO/CO2,0.6589958158995816,0.5821387007331371
fire,0.7991397849462366,0.5571536745485387
skin rashes,0.9594843462246777,0.48966165413533835
electric shock,0.7297297297297297,0.7084318360914106
burn,0.7310606060606061,0.46024707000316756
allergy,0.9327217125382263,0.4825949367088608
lawsuit,0.6025974025974026,0.5881949930439524
explode,0.7180851063829787,0.5296228107444649
electrical issue,0.6779661016949152,0.6746008708272859
hurt,0.8029197080291971,0.5089605734767024
stress,0.6666666666666666,0.5555555555555556
blow,0.6875,0.5428571428571429
security,0.6666666666666666,0.4
damage,0.5,0.4666666666666667
